QueryId;QueryText;Gold Standard;Adequate;;;Source;SourceEndpoint;Target;Target Endpoint
36;PREFIX dblp:  <http://dblp.rkbexplorer.com/> PREFIX akt: <http://www.aktors.org/ontology/portal#> SELECT ?article WHERE { ?article dblp:Article IsWrittenBy ?author . ?author akt:full-name ?Author . FILTER ( regex ( ?Author, ?Tanenbaum?, ?i? ) )} ORDER BY ?Author;PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX bnb:  <http://bnb.data.bl.uk/>    SELECT ?article WHERE {?author bnb:hascreated ?article .?author foaf:name ?Author .  FILTER (regex(?Author, ?Tanenbaum?, ?i?)) ORDER BY ?Author};PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX bnb:  <http://bnb.data.bl.uk/>    SELECT ?article WHERE {?author bnb:hascreated ?article .?author foaf:name ?Author .  FILTER (regex(?Author, ?Tanenbaum?, ?i?)) ORDER BY ?Author};;;DBLP;http://dblp.rkbexplorer.com/sparql/;BNB;http://bnb.data.bl.uk/sparql
37;"PREFIX purlc: <http://purl.org/dc/terms/> PREFIX bibo: <http://purl.org/ontology/bibo/>  PREFIX bnb-person: <http://bnb.data.bl.uk/id/person/> SELECT ?book ?isbn ?title WHERE { ?book purlc:creator bnb-person:Althea; bibo:isbn10 ?isbn; purlc:title ?title. } LIMIT 10";"PREFIX bnf-ark:<http://catalogue.bnf.fr/ark:> PREFIX bibo: <http://purl.org/ontology/bibo/> PREFIX dct: <http://purl.org/dc/terms/>   SELECT ?book ?isbn ?title WHERE { ?book dct:creator ?author; bibo:isbn10 ?isbn; dct:title ?title.} LIMIT 10";"PREFIX bnf-ark:<http://catalogue.bnf.fr/ark:> PREFIX bibo: <http://purl.org/ontology/bibo/> PREFIX dct: <http://purl.org/dc/terms/>   SELECT ?book ?isbn ?title WHERE { ?book dct:creator ?author; bibo:isbn10 ?isbn; dct:title ?title.} LIMIT 10";;;BNB;http://bnb.data.bl.uk/sparql;BNF;http://data.bnf.fr/sparql/
38;PREFIX bnb-person: <http://bnb.data.bl.uk/id/person/>  SELECT * WHERE { ?subject ?predicate bnb-person:AustenJane1775-1817};SELECT * WHERE {?subject ?predicate <http://catalogue.bnf.fr/ark:/12148/cb118896036> };SELECT * WHERE {?subject ?predicate <http://catalogue.bnf.fr/ark:/12148/cb118896036> };;;BNB;http://bnb.data.bl.uk/sparql;BNF;http://data.bnf.fr/sparql/
39;PREFIX purlc: <http://purl.org/dc/terms/> PREFIX bibo: <http://purl.org/ontology/bibo/> SELECT DISTINCT ?book ?title WHERE { ?book bibo:isbn10 ?0851221033?. ?book a bibo:Book . ?book purlc:title ?title.};PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/>  SELECT DISTINCT ?book ?title WHERE { ?book db-o:isbn ?0851221033?. ?book a db-o:Book . ?book dct:title ?title.};PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/>  SELECT DISTINCT ?book ?title WHERE { ?book db-o:isbn ?0851221033?. ?book a db-o:Book . ?book dct:title ?title.};;;BNB;http://bnb.data.bl.uk/sparql;Dbpedia;http://dbpedia.org/sparql
40;PREFIX foaf:< http://xmlns.com/foaf/0.1/>  PREFIX bnf:<http://data.bnf.fr/vocabulary/roles/> SELECT ?auteur ?jour ?nom WHERE { ?auteur foaf:birthday ?jour. ?doc bnf:r220 ?auteur. OPTIONAL {?auteur foaf:name ?nom } } ORDER BY (?jour) LIMIT 10;PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/>   SELECT ?auteur ?jour ?nom WHERE { ?auteur ?p ?jour. ?doc db-o:author ?auteur.  OPTIONAL {?auteur foaf:name ?nom} } ORDER BY (?jour) LIMIT 10;PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/>   SELECT ?auteur ?jour ?nom WHERE { ?auteur ?p ?jour. ?doc db-o:author ?auteur.  OPTIONAL {?auteur foaf:name ?nom} } ORDER BY (?jour) LIMIT 10;;;BNF;http://data.bnf.fr/sparql/;Dbpedia;http://dbpedia.org/sparql
41;"PREFIX purlc: <http://purl.org/dc/terms/> PREFIX foaf:< http://xmlns.com/foaf/0.1/>   PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  SELECT DISTINCT ?work ?title WHERE { ?work foaf:focus ?person. ?work purlc:creator ?person ; rdfs:label ?title . } LIMIT 10";"PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT DISTINCT ?work ?title WHERE {  ?work foaf:focus ?person. ?work dcterms:creator ?person ; rdfs:label ?title . } LIMIT 10";"PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT DISTINCT ?work ?title WHERE {  ?work foaf:focus ?person. ?work dcterms:creator ?person ; rdfs:label ?title . } LIMIT 10";;;BNF;http://data.bnf.fr/sparql/;Dbpedia;http://dbpedia.org/sparql
42; PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX frbr: <http://purl.org/vocab/frbr/core#> PREFIX isbd: <http://iflastandards.info/ns/isbd/elements/> SELECT DISTINCT ?item WHERE { ?item rdf:type frbr:C1003 . ?item isbd:P1004 ?Decamerone? };PREFIX db-o: <http://dbpedia.org/ontology/>  SELECT DISTINCT ?item WHERE { ?item a db-o:Book.  ?item db-o:titleOrig ?Decamerone?@en . };PREFIX db-o: <http://dbpedia.org/ontology/>  SELECT DISTINCT ?item WHERE { ?item a db-o:Book.  ?item db-o:titleOrig ?Decamerone?@en . };;;BNE;http://datos.bne.es/sparql;Dbpedia;http://dbpedia.org/sparql
43;"PREFIX purlc: <http://purl.org/dc/terms/>  SELECT DISTINCT ?Edition WHERE { ?Edition a purlc:Manifestation; purlc:subject ?subject. } LIMIT 10";"SELECT DISTINCT ?Edition WHERE { ?Edition a ?o; ?p ?subject.  } LIMIT 10";"SELECT DISTINCT ?Edition WHERE { ?Edition a ?o; ?p ?subject.  } LIMIT 10";;;BNF;http://data.bnf.fr/sparql/;Dbpedia;http://dbpedia.org/sparql
44;PREFIX frbr: <http://purl.org/vocab/frbr/core#>  SELECT DISTINCT ?item WHERE { ?item rdf:type frbr:C1002. ?item frbr:P2002 <http://datos.bne.es/resource/XX3383594> };PREFIX bnf-ark:<http://catalogue.bnf.fr/ark:>  SELECT DISTINCT ?item WHERE  { ?item rdf:type ?i . ?item ?p bnf-ark:131654249 };PREFIX bnf-ark:<http://catalogue.bnf.fr/ark:>  SELECT DISTINCT ?item WHERE  { ?item rdf:type ?i . ?item ?p bnf-ark:131654249 };;;BNE;http://datos.bne.es/sparql;BNF;http://data.bnf.fr/sparql/
45; PREFIX purlc: <http://purl.org/dc/terms/>  PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT ?yr ?name ?document WHERE { ?class rdfs:subClassOf foaf:Document . ?document rdf:type ?class . ?document purl:creator ?author . ?author foaf:name ?name  OPTIONAL {?class2  rdfs:subClassOf foaf:Document . ?document2 rdf:type ?class2 . ?document2 dc:creator ?author2 .FILTER (?author=?author2) }};PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT ?yr ?name ?document WHERE { ?class rdfs:subClassOf foaf:Document . ?document rdf:type ?class .  ?document dc:creator ?author . ?author foaf:name ?name OPTIONAL { ?class2 rdfs:subClassOf foaf:Document . ?document2 rdf:type ?class2 . ?document2 dc:creator ?author2 . FILTER (?author=?author2 ) }};PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT ?yr ?name ?document WHERE { ?class rdfs:subClassOf foaf:Document . ?document rdf:type ?class .  ?document dc:creator ?author . ?author foaf:name ?name OPTIONAL { ?class2 rdfs:subClassOf foaf:Document . ?document2 rdf:type ?class2 . ?document2 dc:creator ?author2 . FILTER (?author=?author2 ) }};;;SP2B;http://localhost/sparql;Dbpedia;http://dbpedia.org/sparql
46;PREFIX person: <http://localhost/persons/> SELECT ?s WHERE { person:Paul Erdoes sp:advisor ?s. OPTIONAL{ person:John von Neumann sp:advisor ?s}};PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?s WHERE { db-r:Paul Erdoes ?p1 ?s.  OPTIONAL{ db-r:John von Neumann  ?p2 ?s } };PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?s WHERE { db-r:Paul Erdoes ?p1 ?s.  OPTIONAL{ db-r:John von Neumann  ?p2 ?s } };;;SP2B;http://localhost/sparql;Dbpedia;http://dbpedia.org/sparql
47;PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT DISTINCT ?predicate WHERE { { ?person rdf:type foaf:Person . ?subject ?predicate ?person} UNION { ?person rdf:type foaf:Person . ?person ?predicate ?object }};PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT DISTINCT ?predicate WHERE { {  ?person rdf:type foaf:Person . ?subject ?predicate ?person } UNION { ?person rdf:type foaf:Person . ?person ?predicate ?object }};PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT DISTINCT ?predicate WHERE { {  ?person rdf:type foaf:Person . ?subject ?predicate ?person } UNION { ?person rdf:type foaf:Person . ?person ?predicate ?object }};;;SP2B;http://localhost/sparql;Dbpedia;http://dbpedia.org/sparql
48;PREFIX person: <http://localhost/persons/> SELECT ?subject ?predicate WHERE { ?subject ?predicate person:Paul Erdoes };PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?subject ?predicate WHERE {  ?subject ?predicate db-r:Paul Erdoes };PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?subject ?predicate WHERE {  ?subject ?predicate db-r:Paul Erdoes };;;SP2B;http://localhost/sparql;Dbpedia;http://dbpedia.org/sparql
49;PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/> SELECT ?y WHERE { ?y db-o:binomialAuthority db-r:Johan Christian Fabricius. } LIMIT 10;PREFIX libris: <http://libris.kb.se/vocabulary/experimental#>  SELECT ?y WHERE {  ?y ?p libris:335843 } LIMIT 10;PREFIX libris: <http://libris.kb.se/vocabulary/experimental#>  SELECT ?y WHERE {  ?y ?p libris:335843 } LIMIT 10;;;Dbpedia;http://dbpedia.org/sparql;LIBRIS;http://lab3.libris.kb.se/sparql
50;PREFIX purlc: <http://purl.org/dc/terms/> SELECT ?yr WHERE { ?journal rdf:type sp:Journal . ?journal purlc:title ?Journal 1 (1940)?8sd:string . ?journal purlc:issued ?yr };PREFIX db-o: <http://dbpedia.org/ontology/> PREFIX dc: <http://purl.org/dc/elements/1.1/>    PREFIX dct: <http://purl.org/dc/terms/>  SELECT ?yr WHERE { ?journal rdf:type db-o:AcademicJournal . ?journal dc:title ?Journal 1 (1940)?8sd:string .   ?journal dcterms:issued ?yr };PREFIX db-o: <http://dbpedia.org/ontology/> PREFIX dc: <http://purl.org/dc/elements/1.1/>    PREFIX dct: <http://purl.org/dc/terms/>  SELECT ?yr WHERE { ?journal rdf:type db-o:AcademicJournal . ?journal dc:title ?Journal 1 (1940)?8sd:string .   ?journal dcterms:issued ?yr };;;SP2B;http://localhost/sparql;Dbpedia;http://dbpedia.org/sparql
51;PREFIX foaf:< http://xmlns.com/foaf/0.1/>  PREFIX db-o: <http://dbpedia.org/ontology/> SELECT ?actor WHERE { ?film foaf:name ?Top Gun? . ?film db-o:starring ?actor .};PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT ?actor WHERE { ?film foaf:name ?Top Gun? . ?film movie:actor ?actor .};PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT ?actor WHERE { ?film foaf:name ?Top Gun? . ?film movie:actor ?actor .};;;Dbpedia;http://dbpedia.org/sparql;LinkedMDB;http://www.linkedmdb.org/snorql/
52;PREFIX db-p: <http://dbpedia.org/property/> PREFIX db-o: <http://dbpedia.org/ontology/> SELECT ?film ?director ?genre WHERE { ?film db-o:director ?director. ?film db-p:country ?Italy?.  ?film db-o:genre ?genre .};PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX db: <http://data.linkedmdb.org/resource/> SELECT ?film ?director ?genre WHERE {?film movie:director ?director. ?film movie:country 'Italy'. ?film movie:genre ?genre .};PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX db: <http://data.linkedmdb.org/resource/> SELECT ?film ?director ?genre WHERE {?film movie:director ?director. ?film movie:country 'Italy'. ?film movie:genre ?genre .};;;Dbpedia;http://dbpedia.org/sparql;LinkedMDB;http://www.linkedmdb.org/snorql/
53;PREFIX foaf:< http://xmlns.com/foaf/0.1/>  PREFIX db-o: <http://dbpedia.org/ontology/> SELECT ?name ?band WHERE  {?artist foaf:name ?name. ?band db-o:formerBandMember ?artist. ?band foaf:name ?The Beatles?.};PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?name ?band WHERE {?artist rdfs:label ?name. ?artist ?p ?band. ?band rdfs:label ?The Beatles? .};PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?name ?band WHERE {?artist rdfs:label ?name. ?artist ?p ?band. ?band rdfs:label ?The Beatles? .};;;Dbpedia;http://dbpedia.org/sparql;MusicBrainz;http://dbtune.org/musicbrainz/sparql
54;PREFIX foaf:< http://xmlns.com/foaf/0.1/>  PREFIX db-o: <http://dbpedia.org/ontology/>  PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?album   WHERE {?album rdf:type db-o:Album . ?album db-o:artist ?artist. ?artist foaf:name ?Slayer?.};PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX mo: <http://purl.org/ontology/mo/>  PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT ?album WHERE {?album rdf:type mo:Record . ?album foaf:maker ?artist . ?artist foaf:name Slayer .};PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX mo: <http://purl.org/ontology/mo/>  PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT ?album WHERE {?album rdf:type mo:Record . ?album foaf:maker ?artist . ?artist foaf:name Slayer .};;;Dbpedia;http://dbpedia.org/sparql;MusicBrainz;http://dbtune.org/musicbrainz/sparql
55;PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT DISTINCT ?a WHERE { ?a a foaf:Person .  ?a rdfs:label ?n . FILTER (regex(?n, ?John?,?i?)) .};PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX foaf:< http://xmlns.com/foaf/0.1/>   SELECT DISTINCT ?a WHERE { ?a a foaf:Person. ?a rdfs:label ?n. FILTER (regex(?n, ?John?,?i?)) .};PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX foaf:< http://xmlns.com/foaf/0.1/>   SELECT DISTINCT ?a WHERE { ?a a foaf:Person. ?a rdfs:label ?n. FILTER (regex(?n, ?John?,?i?)) .};;;LinkedMDB;http://www.linkedmdb.org/snorql/;Dbpedia;http://dbpedia.org/sparql
56;PREFIX movie: <http://data.linkedmdb.org/resource/movie/> SELECT DISTINCT ?a WHERE  {movie:46921 ?p ?a .};PREFIX db-r: <http://dbpedia.org/resource/> SELECT DISTINCT ?a WHERE { db-r:The Other Side of the Wind ?p ?a .};PREFIX db-r: <http://dbpedia.org/resource/> SELECT DISTINCT ?a WHERE { db-r:The Other Side of the Wind ?p ?a .};;;LinkedMDB;http://www.linkedmdb.org/snorql/;Dbpedia;http://dbpedia.org/sparql
57;"PREFIX db-p: <http://dbpedia.org/property/> PREFIX db-o: <http://dbpedia.org/ontology/> PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT ?movieName WHERE { ?woody foaf:name ?Woody Allen?@en. ?actor foaf:name ?Julie Kavner?@en. ?movie db-o:director ?woody;  db-o:starring ?actor; db-p:title ?movieName. }";"PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX purlc: <http://purl.org/dc/terms/>  PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT ?movieName WHERE { ?woody foaf:name ?Woody Allen?. ?actor movie:actor name ?Julie Kavner?. ?movie movie:director ?woody; movie:actor ?actor; purlc:title ?movieName.}";"PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX purlc: <http://purl.org/dc/terms/>  PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT ?movieName WHERE { ?woody foaf:name ?Woody Allen?. ?actor movie:actor name ?Julie Kavner?. ?movie movie:director ?woody; movie:actor ?actor; purlc:title ?movieName.}";;;Dbpedia;http://dbpedia.org/sparql;LinkedMDB;http://www.linkedmdb.org/snorql/
58;PREFIX db-o: <http://dbpedia.org/ontology/>   PREFIX db-r: <http://dbpedia.org/resource/> SELECT ?actor WHERE  { db-r:E.T. the ExtraTerrestrial db-o:starring ?actor . };PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX db: <http://data.linkedmdb.org/resource/>  SELECT ?actor WHERE { db:film/154 movie:actor ?actor. };PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX db: <http://data.linkedmdb.org/resource/>  SELECT ?actor WHERE { db:film/154 movie:actor ?actor. };;;Dbpedia;http://dbpedia.org/sparql;LinkedMDB;http://www.linkedmdb.org/snorql/
59;PREFIX db-o: <http://dbpedia.org/ontology/>   PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?writer WHERE { db-r:Interstellar (film) db-o:writer ?writer . };PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX db: <http://data.linkedmdb.org/resource/>  SELECT ?writer WHERE { db:film/8304 movie:writer ?writer . };PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX db: <http://data.linkedmdb.org/resource/>  SELECT ?writer WHERE { db:film/8304 movie:writer ?writer . };;;Dbpedia;http://dbpedia.org/sparql;LinkedMDB;http://www.linkedmdb.org/snorql/
60;PREFIX movie: <http://data.linkedmdb.org/resource/movie/> SELECT distinct ?actor ?place WHERE {?actor a movie:actor. ?actor ?p ?place . } LIMIT 100;PREFIX db-o: <http://dbpedia.org/ontology/>  SELECT distinct ?actor ?place WHERE {?actor a db-o:Actor.?actor ?p ?place } LIMIT 100;PREFIX db-o: <http://dbpedia.org/ontology/>  SELECT distinct ?actor ?place WHERE {?actor a db-o:Actor.?actor ?p ?place } LIMIT 100;;;LinkedMDB;http://www.linkedmdb.org/snorql/;Dbpedia;http://dbpedia.org/sparql
61;"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX mo: <http://purl.org/ontology/mo/>  PREFIX foaf:< http://xmlns.com/foaf/0.1/>   SELECT ?uri ?name ?label WHERE {  ?uri a mo:MusicArtist; foaf:name ?name; rdfs:label ?label. FILTER(?name = ?The Beatles?). FILTER (lang(?label) = ?en?)}";"PREFIX mo: <http://purl.org/ontology/mo/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT ?uri ?name ?label WHERE { ?uri a mo:MusicArtist; foaf:name ?name; rdfs:label ?label. FILTER ( ?name = ?The Beatles? ). FILTER (lang(?label) = ?en?). }";"PREFIX mo: <http://purl.org/ontology/mo/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT ?uri ?name ?label WHERE { ?uri a mo:MusicArtist; foaf:name ?name; rdfs:label ?label. FILTER ( ?name = ?The Beatles? ). FILTER (lang(?label) = ?en?). }";;;Jamendo;http://dbtune.org/jamendo/sparql/;MusicBrainz;http://dbtune.org/musicbrainz/sparql
62;"PREFIX db-o: <http://dbpedia.org/ontology/>   PREFIX db-r: <http://dbpedia.org/resource/>  SELECT (STR(?title) as ?stitle) ?album WHERE {  foaf:made ?album.?album a db-o:MusicalWork; dc:title ?title} order by ?title";"PREFIX purlc: <http://purl.org/dc/terms/> PREFIX mo: <http://purl.org/ontology/mo/>   PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT (STR(?title) AS ?stitle) ?album WHERE { foaf:made ?album. ?album a ?o; purlc:title ?title. } order by ?title";"PREFIX purlc: <http://purl.org/dc/terms/> PREFIX mo: <http://purl.org/ontology/mo/>   PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT (STR(?title) AS ?stitle) ?album WHERE { foaf:made ?album. ?album a ?o; purlc:title ?title. } order by ?title";;;Dbpedia;http://dbpedia.org/sparql;MusicBrainz;http://dbtune.org/musicbrainz/sparql
63;PREFIX data-nyt: <http://data. nytimes.com/element/> SELECT ?predicate ?object WHERE { data-nyt:47452218948077706853 ?predicate ?object . };PREFIX db-r: <http://dbpedia.org/resource/> SELECT ?predicate ?object WHERE { db-r:Barack Obama ?predicate ?object . };PREFIX db-r: <http://dbpedia.org/resource/> SELECT ?predicate ?object WHERE { db-r:Barack Obama ?predicate ?object . };;;New YorkTmes;http://data-gov.tw.rpi.edu:8080/joseki/sparql/nyt;Dbpedia;http://dbpedia.org/sparql
64;PREFIX data-nyt: <http://data. nytimes.com/element/> PREFIX geonames: <http://www.geonames.org/ontology#> PREFIX foaf:< http://xmlns.com/foaf/0.1/>    SELECT ?name ?location WHERE {  ?artist foaf:based near  data-nyt:N17957130964238223481.  ?location geonames:parentFeature ?germany . };  PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX geonames: <http://www.geonames.org/ontology#> PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?name ?location WHERE { ?artist foaf:based near db-r:Baden-Baden . ?location geonames:parentFeature ?germany . };  PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX geonames: <http://www.geonames.org/ontology#> PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?name ?location WHERE { ?artist foaf:based near db-r:Baden-Baden . ?location geonames:parentFeature ?germany . };;;New YorkTmes;http://data-gov.tw.rpi.edu:8080/joseki/sparql/nyt;Dbpedia;http://dbpedia.org/sparql
65;PREFIX data-nyt: <http://data. nytimes.com/element/> PREFIX geonames: <http://www.geonames.org/ontology#> SELECT ?name WHERE {  data-nyt:56975960096322330571  geonames:name ?name .  ?y data-nyt:topicPage ?news } };  PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX geonames: <http://www.geonames.org/ontology#>  PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?name WHERE { db-r:California geonames:name ?name . ?y foaf:isPrimaryTopicOf ?news };  PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX geonames: <http://www.geonames.org/ontology#>  PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?name WHERE { db-r:California geonames:name ?name . ?y foaf:isPrimaryTopicOf ?news };;;New YorkTmes;http://data-gov.tw.rpi.edu:8080/joseki/sparql/nyt;Dbpedia;http://dbpedia.org/sparql
66;PREFIX bbc-r:<http://www.bbc.co.uk/things/> SELECT ?y WHERE {   ?y ?p bbc-r:f63149e9-c577-40b4-bd88-1efac54228db };PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?y WHERE { ?y ?p db-r:Fernando Alonso };PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?y WHERE { ?y ?p db-r:Fernando Alonso };;;BBC;http://bbc.openlinksw.com/sparql;Dbpedia;http://dbpedia.org/sparql
67;"PREFIX geonames: <http://www.geonames.org/ontology#>  PREFIX bbc-r:<http://www.bbc.co.uk/things/> SELECT ?city WHERE {  bbc-r:d3cbd167-06d7-42c3-b23a-cce2657356c8#id a geonames:Place; ?p ?city . }";"PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/> PREFIX geonames: <http://www.geonames.org/ontology#> SELECT ?city WHERE { db-r: Seattle 80 Tacoma International Airport a geonames:Place; ?p ?city . }";"PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/> PREFIX geonames: <http://www.geonames.org/ontology#> SELECT ?city WHERE { db-r: Seattle 80 Tacoma International Airport a geonames:Place; ?p ?city . }";;;BBC;http://bbc.openlinksw.com/sparql;Dbpedia;http://dbpedia.org/sparql
68;PREFIX db-o: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>   SELECT ?drug ?melt WHERE { ?drug rdf:type db-o:drug . ?drug db-o:meltingPoint ?melt.};PREFIX drugbank: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?drug ?melt WHERE {?drug rdf:type drugbank:drugs . ?drug ?p ?melt .};PREFIX drugbank: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?drug ?melt WHERE {?drug rdf:type drugbank:drugs . ?drug ?p ?melt .};;;Dbpedia;http://dbpedia.org/sparql;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql
69; PREFIX kegg: <http://bio2rdf.org/ns/kegg#>   SELECT ?predicate ?object WHERE{  kegg:D005281 ?predicate ?object .};PREFIX drugbank-drugs: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> SELECT ?predicate ?object WHERE { drugbank-drugs:DB00201 ?predicate ?object .};PREFIX drugbank-drugs: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> SELECT ?predicate ?object WHERE { drugbank-drugs:DB00201 ?predicate ?object .};;;KEGG;http://kegg.bio2rdf.org/sparql;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql
70;PREFIX sider: <http://www4.wiwiss.fu-berlin.de/sider/>  SELECT ?x WHERE {sider:2118 rdfs:label ?x .};PREFIX drugbank-drugs: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> SELECT ?x WHERE {drugbank-drugs:DB00404 rdfs:label ?x .};PREFIX drugbank-drugs: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> SELECT ?x WHERE {drugbank-drugs:DB00404 rdfs:label ?x .};;;SIDER;http://bio2rdf.org/sparql;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql
71;PREFIX drugbank-drugs: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/>  SELECT ?p1 ?y1 ?p2 ?y2 WHERE {drugbank-drugs::DB00445 ?p1 ?y1 . drugbank-drugs::DB00580 ?p2 ?y2 .};PREFIX sider: <http://www4.wiwiss.fu-berlin.de/sider/resource/> SELECT ?p1 ?y1 ?p2 ?y2 WHERE {sider:1690 ?p1 ?y1 . sider:119607 ?p2 ?y2 .};PREFIX sider: <http://www4.wiwiss.fu-berlin.de/sider/resource/> SELECT ?p1 ?y1 ?p2 ?y2 WHERE {sider:1690 ?p1 ?y1 . sider:119607 ?p2 ?y2 .};;;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql;SIDER;http://bio2rdf.org/sparql
